diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
Diocese of Lincoln,3400 Sheridan Boulevard,Lincoln,NE,http://www.dioceseoflincoln.org/,,,FALSE
Archdiocese of Las Vegas,336 Cathedral Way,Las Vegas,NV,https://lvcatholic.org/,,,FALSE
Diocese of Reno,"290 S. Arlington Avenue, #200",Reno,NV,http://www.dioceseofreno.org/,,,FALSE
Diocese of Manchester,153 Ash Street,Manchester,NH,http://www.catholicnh.org/,,,FALSE
Byzantine Catholic Eparchy of Passaic,445 Lackawanna Av. West,West Paterson,NJ,http://www.eparchyofpassaic.com/,,,FALSE
Archdiocese of Newark,171 Clifton Avenue,Newark,NJ,https://rcan.org/,,,FALSE
Diocese of Camden,631 Market Street,Camden,NJ,http://www.camdendiocese.org/,,,FALSE
Diocese of Metuchen,P.O. Box 191,Metuchen,NJ,http://www.diometuchen.org/,,,FALSE
Diocese of Paterson,777 Valley Road,Clifton,NJ,http://www.patersondiocese.org/,,,FALSE
Diocese of Trenton,P.O. Box 5147,Trenton,NJ,http://www.dioceseoftrenton.org/,,,FALSE
Archdiocese of Santa Fe,4000 St. Joseph's Pl. NW,Albuquerque,NM,https://archdiosf.org/,https://archdiosf.org/parishfinder,TRUE,FALSE
Diocese of Gallup,P.O. Box 1338,Gallup,NM,http://www.dioceseofgallup.org/,https://dioceseofgallup.org/parishes/,,FALSE
Diocese of Las Cruces,1280 Med Park Drive,Las Cruces,NM,http://www.rcdlc.org/,https://rcdlc.org/parishes/,,FALSE
Eparchy of St. Maron of Brooklyn,109 Remsen Street,Brooklyn,NY,http://www.stmaron.org/,https://www.stmaron.org/directory-of-parishes,,FALSE
Syro-Malankara Catholic Eparchy in the USA,"Exarchial Chancery, 1500 De Paul Street",Elmont,NY,http://syromalankarausa.org/,,,FALSE
Archdiocese of New York,488 Madison Ave,New  York,NY,http://www.archny.org/,https://www.archny.org/map/parishes,,FALSE
Diocese of Albany,"Pastoral Center, 40 North Main Avenue",Albany,NY,http://www.rcda.org/,https://www.rcda.org/parishes/find,,FALSE
Diocese of Brooklyn,"Chancery Office, 310 Prospect Park West",Brooklyn,NY,http://www.dioceseofbrooklyn.org/,https://www.dioceseofbrooklyn.org/directories/parishes/,,FALSE
Diocese of Buffalo,795 Main Street,Buffalo,NY,http://www.buffalodiocese.org/,https://www.buffalodiocese.org/parish-finder/,,FALSE
Diocese of Ogdensburg,"P.O. Box 369, 622 Washington Street",Ogdensburg,NY,https://www.rcdony.org/,https://www.rcdony.org/directory/parishes.html,,FALSE
Diocese of Rochester,1150 Buffalo Road,Rochester,NY,http://www.dor.org/,https://www.dor.org/parishes-campuses-cemeteries/parish-locator-and-mass-times/,,FALSE
Diocese of Rockville Centre,"50 North Park Avenue, P.O. Box 9023",Rockville Centre,NY,http://www.drvc.org/,https://www.drvc.org/maps/,,FALSE
Diocese of Syracuse,240 East Onondaga Street,Syracuse,NY,http://www.syracusediocese.org/,https://www.syracusediocese.org/parishes,,FALSE
Diocese of Charlotte,1123 South Church Street,Charlotte,NC,http://www.charlottediocese.org/,https://charlottediocese.org/find-church/,,FALSE
Diocese of Raleigh,7200 Stonehenge Drive,Raleigh,NC,http://www.dioceseofraleigh.org/,https://dioceseofraleigh.org/find-a-parish,,FALSE
Diocese of Bismarck,"The Chancery, P.O. Box 1575",Bismarck,ND,http://www.bismarckdiocese.com/,https://www.bismarckdiocese.com/parishfinder,TRUE,FALSE
Diocese of Fargo,"5201 Bishops Boulevard, Suite A",Fargo,ND,http://www.fargodiocese.org/,https://www.fargodiocese.org/parishfinder,TRUE,FALSE
Eparchy of Parma,"5000 Rockside Road, Suite 310",Independence,OH,http://www.parma.org/,https://www.parma.org/parishes-clergy,,FALSE
Eparchy of St. George in Canton for the Romanians,1121 44th Street NE,Canton,OH,http://www.romaniancatholic.org/,https://www.romaniancatholic.org/parishfinder,TRUE,FALSE
"Ukrainian Catholic Eparchy of St. Josaphat-Parma, OH",P.O. Box 347180,Parma,OH,http://www.stjosaphateparchy.com/,https://stjosaphateparchy.com/parishes/,,FALSE
Archdiocese of Cincinnati,100 East Eighth Street,Cincinnati,OH,http://www.catholiccincinnati.org/,https://catholicaoc.org/parishes,,FALSE
Diocese of Cleveland,1404 East Ninth Street,Cleveland,OH,http://www.dioceseofcleveland.org/,https://www.dioceseofcleveland.org/find-a-parish,,FALSE
